Run,Pe,FER
1,0.2,0.0
1,0.225,0.0
1,0.25,0.0283203125
1,0.275,0.701171875
1,0.3,0.888671875
2,0.2,0.0
2,0.225,0.0009765625
2,0.25,0.01171875
2,0.275,0.71875
2,0.3,0.8798828125
3,0.2,0.0
3,0.225,0.00390625
3,0.25,0.01171875
3,0.275,0.673828125
3,0.3,0.8642578125
4,0.2,0.0
4,0.225,0.0029296875
4,0.25,0.0
4,0.275,0.6650390625
4,0.3,0.859375
5,0.2,0.0
5,0.225,0.0
5,0.25,0.0
5,0.275,0.7080078125
5,0.3,0.853515625
6,0.2,0.0
6,0.225,0.0
6,0.25,0.00390625
6,0.275,0.7294921875
6,0.3,0.861328125
7,0.2,0.0
7,0.225,0.0
7,0.25,0.0087890625
7,0.275,0.6962890625
7,0.3,0.87109375
8,0.2,0.0
8,0.225,0.0009765625
8,0.25,0.0126953125
8,0.275,0.71484375
8,0.3,0.875
9,0.2,0.0
9,0.225,0.001953125
9,0.25,0.0107421875
9,0.275,0.744140625
9,0.3,0.853515625
10,0.2,0.0
10,0.225,0.0
10,0.25,0.0166015625
10,0.275,0.71875
10,0.3,0.857421875
11,0.2,0.001953125
11,0.225,0.0
11,0.25,0.0302734375
11,0.275,0.6923828125
11,0.3,0.8671875
12,0.2,0.0
12,0.225,0.0
12,0.25,0.0283203125
12,0.275,0.677734375
12,0.3,0.8701171875
13,0.2,0.0
13,0.225,0.0009765625
13,0.25,0.01171875
13,0.275,0.703125
13,0.3,0.8564453125
14,0.2,0.0
14,0.225,0.0
14,0.25,0.0400390625
14,0.275,0.6767578125
14,0.3,0.876953125
15,0.2,0.0
15,0.225,0.0
15,0.25,0.0146484375
15,0.275,0.7001953125
15,0.3,0.8818359375
16,0.2,0.0
16,0.225,0.0
16,0.25,0.0
16,0.275,0.7451171875
16,0.3,0.865234375
17,0.2,0.0
17,0.225,0.0
17,0.25,0.0263671875
17,0.275,0.7216796875
17,0.3,0.875
18,0.2,0.0
18,0.225,0.001953125
18,0.25,0.0244140625
18,0.275,0.7109375
18,0.3,0.88671875
19,0.2,0.0
19,0.225,0.0
19,0.25,0.0224609375
19,0.275,0.640625
19,0.3,0.869140625
20,0.2,0.0
20,0.225,0.0048828125
20,0.25,0.0068359375
20,0.275,0.642578125
20,0.3,0.8662109375
21,0.2,0.0
21,0.225,0.0
21,0.25,0.0146484375
21,0.275,0.677734375
21,0.3,0.884765625
22,0.2,0.0
22,0.225,0.0
22,0.25,0.03125
22,0.275,0.6884765625
22,0.3,0.8974609375
23,0.2,0.0
23,0.225,0.0
23,0.25,0.0146484375
23,0.275,0.7138671875
23,0.3,0.859375
24,0.2,0.0
24,0.225,0.0
24,0.25,0.0078125
24,0.275,0.73828125
24,0.3,0.8759765625
25,0.2,0.0
25,0.225,0.0009765625
25,0.25,0.013671875
25,0.275,0.6806640625
25,0.3,0.861328125
26,0.2,0.0
26,0.225,0.0
26,0.25,0.0205078125
26,0.275,0.6806640625
26,0.3,0.86328125
27,0.2,0.001953125
27,0.225,0.0
27,0.25,0.009765625
27,0.275,0.62890625
27,0.3,0.875
28,0.2,0.0
28,0.225,0.001953125
28,0.25,0.048828125
28,0.275,0.68359375
28,0.3,0.8525390625
29,0.2,0.0
29,0.225,0.0
29,0.25,0.046875
29,0.275,0.7197265625
29,0.3,0.87109375
30,0.2,0.0
30,0.225,0.0009765625
30,0.25,0.015625
30,0.275,0.6533203125
30,0.3,0.857421875
31,0.2,0.001953125
31,0.225,0.0
31,0.25,0.0078125
31,0.275,0.6728515625
31,0.3,0.876953125
32,0.2,0.0
32,0.225,0.0
32,0.25,0.0
32,0.275,0.642578125
32,0.3,0.873046875
33,0.2,0.0
33,0.225,0.001953125
33,0.25,0.0185546875
33,0.275,0.673828125
33,0.3,0.87109375
34,0.2,0.0
34,0.225,0.0
34,0.25,0.0078125
34,0.275,0.7216796875
34,0.3,0.873046875
35,0.2,0.0
35,0.225,0.0
35,0.25,0.0244140625
35,0.275,0.72265625
35,0.3,0.8623046875
36,0.2,0.0
36,0.225,0.0
36,0.25,0.0068359375
36,0.275,0.751953125
36,0.3,0.859375
37,0.2,0.0
37,0.225,0.0
37,0.25,0.0068359375
37,0.275,0.689453125
37,0.3,0.8662109375
38,0.2,0.0
38,0.225,0.0
38,0.25,0.0361328125
38,0.275,0.6806640625
38,0.3,0.8544921875
39,0.2,0.0
39,0.225,0.0
39,0.25,0.0
39,0.275,0.7236328125
39,0.3,0.8798828125
40,0.2,0.0
40,0.225,0.00390625
40,0.25,0.0517578125
40,0.275,0.65625
40,0.3,0.8828125
41,0.2,0.0
41,0.225,0.0
41,0.25,0.01953125
41,0.275,0.7646484375
41,0.3,0.876953125
42,0.2,0.0
42,0.225,0.0
42,0.25,0.0
42,0.275,0.7626953125
42,0.3,0.869140625
43,0.2,0.0
43,0.225,0.00390625
43,0.25,0.0087890625
43,0.275,0.7099609375
43,0.3,0.859375
44,0.2,0.0
44,0.225,0.0
44,0.25,0.00390625
44,0.275,0.68359375
44,0.3,0.8447265625
45,0.2,0.0
45,0.225,0.0
45,0.25,0.0224609375
45,0.275,0.642578125
45,0.3,0.8828125
46,0.2,0.0
46,0.225,0.0009765625
46,0.25,0.0625
46,0.275,0.7109375
46,0.3,0.8759765625
47,0.2,0.0
47,0.225,0.0009765625
47,0.25,0.017578125
47,0.275,0.7158203125
47,0.3,0.86328125
48,0.2,0.0
48,0.225,0.0
48,0.25,0.015625
48,0.275,0.6943359375
48,0.3,0.8701171875
49,0.2,0.0
49,0.225,0.001953125
49,0.25,0.015625
49,0.275,0.7373046875
49,0.3,0.8681640625
50,0.2,0.0
50,0.225,0.0
50,0.25,0.0146484375
50,0.275,0.7109375
50,0.3,0.8740234375
51,0.2,0.0
51,0.225,0.0
51,0.25,0.0126953125
51,0.275,0.67578125
51,0.3,0.8525390625
52,0.2,0.0
52,0.225,0.0
52,0.25,0.01953125
52,0.275,0.6904296875
52,0.3,0.84765625
53,0.2,0.0
53,0.225,0.0009765625
53,0.25,0.025390625
53,0.275,0.705078125
53,0.3,0.8779296875
54,0.2,0.0
54,0.225,0.0087890625
54,0.25,0.0087890625
54,0.275,0.66796875
54,0.3,0.869140625
55,0.2,0.0
55,0.225,0.0
55,0.25,0.017578125
55,0.275,0.6455078125
55,0.3,0.861328125
56,0.2,0.0
56,0.225,0.0
56,0.25,0.041015625
56,0.275,0.69140625
56,0.3,0.8701171875
57,0.2,0.001953125
57,0.225,0.0
57,0.25,0.044921875
57,0.275,0.6708984375
57,0.3,0.8740234375
58,0.2,0.0
58,0.225,0.0
58,0.25,0.0244140625
58,0.275,0.73046875
58,0.3,0.8935546875
59,0.2,0.0
59,0.225,0.005859375
59,0.25,0.0
59,0.275,0.669921875
59,0.3,0.8671875
60,0.2,0.0
60,0.225,0.0029296875
60,0.25,0.009765625
60,0.275,0.6708984375
60,0.3,0.8662109375
61,0.2,0.0
61,0.225,0.0
61,0.25,0.0
61,0.275,0.720703125
61,0.3,0.83203125
62,0.2,0.0
62,0.225,0.0
62,0.25,0.0244140625
62,0.275,0.6650390625
62,0.3,0.8671875
63,0.2,0.0
63,0.225,0.0
63,0.25,0.0205078125
63,0.275,0.6953125
63,0.3,0.8603515625
64,0.2,0.0
64,0.225,0.0
64,0.25,0.0263671875
64,0.275,0.7294921875
64,0.3,0.833984375
65,0.2,0.0
65,0.225,0.0
65,0.25,0.0146484375
65,0.275,0.673828125
65,0.3,0.8916015625
66,0.2,0.0
66,0.225,0.0009765625
66,0.25,0.0185546875
66,0.275,0.703125
66,0.3,0.875
67,0.2,0.0
67,0.225,0.0009765625
67,0.25,0.0126953125
67,0.275,0.6787109375
67,0.3,0.857421875
68,0.2,0.0
68,0.225,0.0
68,0.25,0.0
68,0.275,0.7509765625
68,0.3,0.8681640625
69,0.2,0.0
69,0.225,0.0009765625
69,0.25,0.025390625
69,0.275,0.69140625
69,0.3,0.8603515625
70,0.2,0.0
70,0.225,0.0048828125
70,0.25,0.0224609375
70,0.275,0.6474609375
70,0.3,0.8544921875
71,0.2,0.0
71,0.225,0.0009765625
71,0.25,0.005859375
71,0.275,0.708984375
71,0.3,0.8671875
72,0.2,0.0
72,0.225,0.0
72,0.25,0.021484375
72,0.275,0.7021484375
72,0.3,0.87890625
73,0.2,0.0
73,0.225,0.0
73,0.25,0.0078125
73,0.275,0.7021484375
73,0.3,0.8759765625
74,0.2,0.0
74,0.225,0.0
74,0.25,0.0234375
74,0.275,0.7314453125
74,0.3,0.8662109375
75,0.2,0.0
75,0.225,0.001953125
75,0.25,0.005859375
75,0.275,0.71875
75,0.3,0.861328125
76,0.2,0.0
76,0.225,0.0
76,0.25,0.02734375
76,0.275,0.7197265625
76,0.3,0.8388671875
77,0.2,0.0
77,0.225,0.0048828125
77,0.25,0.009765625
77,0.275,0.708984375
77,0.3,0.861328125
78,0.2,0.0
78,0.225,0.0
78,0.25,0.0263671875
78,0.275,0.71484375
78,0.3,0.8701171875
79,0.2,0.0
79,0.225,0.0
79,0.25,0.013671875
79,0.275,0.6953125
79,0.3,0.8779296875
80,0.2,0.0
80,0.225,0.001953125
80,0.25,0.0
80,0.275,0.6865234375
80,0.3,0.8544921875
81,0.2,0.0
81,0.225,0.0
81,0.25,0.015625
81,0.275,0.73046875
81,0.3,0.8515625
82,0.2,0.0
82,0.225,0.0048828125
82,0.25,0.01171875
82,0.275,0.66796875
82,0.3,0.8779296875
83,0.2,0.0
83,0.225,0.0
83,0.25,0.0068359375
83,0.275,0.705078125
83,0.3,0.8681640625
84,0.2,0.0
84,0.225,0.0048828125
84,0.25,0.0146484375
84,0.275,0.693359375
84,0.3,0.865234375
85,0.2,0.0
85,0.225,0.0
85,0.25,0.0
85,0.275,0.6884765625
85,0.3,0.880859375
86,0.2,0.0
86,0.225,0.0
86,0.25,0.0146484375
86,0.275,0.693359375
86,0.3,0.853515625
87,0.2,0.0009765625
87,0.225,0.0
87,0.25,0.0078125
87,0.275,0.705078125
87,0.3,0.8681640625
88,0.2,0.0
88,0.225,0.001953125
88,0.25,0.0380859375
88,0.275,0.7509765625
88,0.3,0.87109375
89,0.2,0.0
89,0.225,0.0
89,0.25,0.017578125
89,0.275,0.6591796875
89,0.3,0.8818359375
90,0.2,0.0
90,0.225,0.0048828125
90,0.25,0.0166015625
90,0.275,0.732421875
90,0.3,0.869140625
91,0.2,0.0
91,0.225,0.0
91,0.25,0.009765625
91,0.275,0.7255859375
91,0.3,0.8662109375
92,0.2,0.0
92,0.225,0.0
92,0.25,0.0166015625
92,0.275,0.7001953125
92,0.3,0.8701171875
93,0.2,0.0
93,0.225,0.0
93,0.25,0.0068359375
93,0.275,0.6953125
93,0.3,0.896484375
94,0.2,0.0
94,0.225,0.0
94,0.25,0.0126953125
94,0.275,0.623046875
94,0.3,0.853515625
95,0.2,0.0
95,0.225,0.00390625
95,0.25,0.013671875
95,0.275,0.6982421875
95,0.3,0.857421875
96,0.2,0.0029296875
96,0.225,0.0
96,0.25,0.021484375
96,0.275,0.6953125
96,0.3,0.8837890625
97,0.2,0.0
97,0.225,0.00390625
97,0.25,0.005859375
97,0.275,0.701171875
